id,studentID,subjectID,caID,score,active
251,499,35,46,0.85,
252,488,35,46,0.9,
253,504,35,46,0.35,
254,498,35,46,0.4,
255,496,35,46,0.55,
256,487,35,46,0.6,
257,494,35,46,0.65,
258,497,35,46,0.7,
259,501,35,46,0.75,
260,490,35,46,0.75,
261,495,35,46,0.8,
262,491,35,46,0.85,
263,506,35,46,0.65,
264,492,35,46,0.7,
265,493,35,46,0.75,
266,508,35,47,0.6,
267,507,35,47,0.7,
268,502,35,47,0.75,
269,499,35,47,0.8,
270,488,35,47,0.65,
271,504,35,47,0.6,
272,498,35,47,0.7,
273,496,35,47,0.75,
274,487,35,47,0.8,
275,494,35,47,0.85,
276,497,35,47,0.85,
277,501,35,47,0.85,
278,490,35,47,0.9,
279,495,35,47,0.55,
280,491,35,47,0.6,
281,492,35,47,0.55,
282,493,35,47,0.6,
283,506,35,47,0.55,
284,508,35,48,0.933333333333,
285,507,35,48,0.9,
286,502,35,48,0.933333333333,
287,499,35,48,0.916666666667,
288,488,35,48,0.916666666667,
289,504,35,48,0.9,
290,496,35,48,0.9,
291,487,35,48,0.9,
292,494,35,48,0.9,
293,501,35,48,0.716666666667,
294,498,35,48,0.916666666667,
295,497,35,48,0.933333333333,
296,490,35,48,0.533333333333,
297,495,35,48,0.566666666667,
298,491,35,48,0.566666666667,
299,506,35,48,0.533333333333,
300,492,35,48,0.75,
301,493,35,48,0.75,
302,508,36,46,0.5,
303,507,36,46,0.55,
304,502,36,46,0.6,
305,499,36,46,0.6,
306,488,36,46,0.6,
307,504,36,46,0.65,
308,498,36,46,0.6,
309,496,36,46,0.65,
310,487,36,46,0.7,
311,494,36,46,0.6,
312,497,36,46,0.6,
313,501,36,46,0.6,
314,490,36,46,0.6,
315,495,36,46,0.6,
316,491,36,46,0.6,
317,506,36,46,0.7,
318,492,36,46,0.65,
319,493,36,46,0.7,
320,508,36,47,0.6,
321,507,36,47,0.6,
322,502,36,47,0.6,
323,499,36,47,0.6,
324,488,36,47,0.6,
325,504,36,47,0.65,
326,498,36,47,0.65,
327,496,36,47,0.6,
328,487,36,47,0.65,
329,494,36,47,0.65,
330,497,36,47,0.6,
331,501,36,47,0.65,
332,490,36,47,0.65,
333,495,36,47,0.6,
334,491,36,47,0.6,
335,506,36,47,0.65,
336,492,36,47,0.65,
337,493,36,47,0.7,
338,2996,32,46,0.55,
339,1767,32,46,0.65,
340,3823,32,46,0.85,
341,2147,32,46,0.95,
342,2996,32,47,0.55,
343,1767,32,47,0.75,
344,3823,32,47,0.95,
345,2147,32,47,0.95,
346,48,32,47,1.0,
347,48,32,46,0.95,
348,2996,32,48,0.183333333333,
349,1767,32,48,0.3,
350,3823,32,48,0.316666666667,
351,2147,32,48,0.316666666667,
352,48,32,48,0.766666666667,
353,11,32,46,0.7,
354,25,32,46,0.65,
355,11,32,47,0.55,
356,11,32,48,0.933333333333,
357,11,33,46,0.9,
358,11,33,47,0.55,
359,11,33,48,0.716666666667,
360,11,34,46,0.55,
361,11,34,47,0.35,
362,11,34,48,0.433333333333,
363,11,35,46,0.85,
364,11,35,47,0.85,
365,11,35,48,0.766666666667,
366,11,36,46,0.95,
367,11,36,47,0.6,
368,11,36,48,0.9,
369,11,37,46,0.8,
370,11,37,47,0.9,
371,11,37,48,0.75,
372,11,38,46,0.85,
373,11,38,47,0.85,
374,11,38,48,0.75,
375,497,32,88,0.6,
376,497,32,89,0.6,
377,497,32,90,0.183333333333,
378,497,33,88,0.55,
379,497,33,89,0.85,
380,497,33,90,0.75,
