id,subID,name,abbrv,active,pubID,description
126,9.0,5,101,1.0,fee,100000
127,63.0,Stationaries,STA,0.0,16,0
128,63.0,Petrol,PET,0.0,16,0
129,,stationaries,stats,0.0,15,
130,,stationaries,stat,0.0,23,
131,130.0,BOOKZ,BKS,0.0,16,0
132,130.0,A4  PAPER,A4,0.0,16,0
133,130.0,BIROS,BIRO,0.0,16,0
134,,firstbanks,first,0.0,20,
135,,fineart,fart,0.0,3,
136,,creativeart,cart,0.0,3,
137,,gold,g,1.0,1,
138,,silver,s,1.0,1,
139,1.0,gold,g,0.0,1x,
140,,gold,g,1.0,1,
141,10.0,silver,s,0.0,1x,
142,10.0,gold,s,0.0,1x,
143,11.0,gold,g,0.0,1x,
144,11.0,silver,s,0.0,1x,
145,,chemicals,chen,0.0,23,
146,145.0,sodium,na,0.0,23x,
155,,color2,,,datas,#55557f
161,,city,,,datas,Miami
162,,country,,,datas,USA
163,,color1,,,datas,#ff5500
164,,state,,,datas,California
165,,address,,,datas,12 Miami beach
166,,motto,,,datas,learning for future
167,,email1,,,datas,best@email.com
168,,zip,,,datas,8000123
169,,phone2,,,datas,23400102023
170,,phone1,,,datas,23400000000
171,,alias,,,datas,Heritage
172,,pmb,,,datas,P.O.BOX 4045
173,,email2,,,datas,"secondbest@email,com"
174,,namex,,,datas,Heritage School
175,,logo,,,datas,logo.png
